Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,486.00,490.00,480.00,480.00,13268200,480.00
2017-01-31,486.00,496.00,472.00,486.00,42309600,486.00
2017-01-30,480.00,484.00,464.00,472.00,34576100,472.00
2017-01-27,486.00,492.00,480.00,480.00,9114200,480.00
2017-01-26,488.00,498.00,482.00,484.00,17094700,484.00
2017-01-25,505.00,510.00,488.00,488.00,29782000,488.00
2017-01-24,482.00,510.00,482.00,500.00,75014100,500.00
2017-01-23,482.00,494.00,476.00,478.00,18654900,478.00
2017-01-20,498.00,498.00,472.00,482.00,45049800,482.00
2017-01-19,500.00,505.00,494.00,498.00,26459700,498.00
2017-01-18,505.00,515.00,500.00,500.00,24337400,500.00
2017-01-17,500.00,525.00,498.00,505.00,52095400,505.00
2017-01-16,488.00,515.00,472.00,500.00,107909900,500.00
2017-01-13,476.00,520.00,466.00,488.00,153485200,488.00
2017-01-12,442.00,500.00,442.00,468.00,279751800,468.00
2017-01-11,390.00,444.00,388.00,442.00,217697300,442.00
2017-01-10,392.00,396.00,390.00,390.00,11859400,390.00
2017-01-09,386.00,398.00,386.00,392.00,27404600,392.00
2017-01-06,390.00,396.00,386.00,386.00,19223400,386.00
2017-01-05,404.00,404.00,390.00,390.00,22067600,390.00
2017-01-04,398.00,408.00,394.00,400.00,28924500,400.00
2017-01-03,388.00,404.00,382.00,398.00,34489000,398.00
2017-01-02,386.00,386.00,386.00,386.00,000,386.00
2016-12-30,404.00,414.00,386.00,386.00,43371300,386.00
2016-12-29,394.00,416.00,390.00,402.00,90787400,402.00
2016-12-28,370.00,400.00,370.00,392.00,110507200,392.00
2016-12-27,342.00,378.00,336.00,368.00,64626100,368.00
2016-12-26,340.00,340.00,340.00,340.00,000,340.00
2016-12-23,350.00,358.00,340.00,340.00,14817500,340.00
2016-12-22,354.00,374.00,346.00,352.00,38705300,352.00
2016-12-21,374.00,376.00,348.00,354.00,65169700,354.00
2016-12-20,382.00,388.00,374.00,374.00,13336700,374.00
2016-12-19,374.00,396.00,368.00,382.00,58306600,382.00
2016-12-16,414.00,422.00,374.00,374.00,166111600,374.00
2016-12-15,432.00,444.00,414.00,414.00,67042700,414.00
2016-12-14,420.00,446.00,412.00,432.00,61211900,432.00
2016-12-13,420.00,430.00,412.00,416.00,15426800,416.00
2016-12-12,420.00,420.00,420.00,420.00,000,420.00
2016-12-09,442.00,454.00,418.00,420.00,38301200,420.00
2016-12-08,456.00,456.00,436.00,442.00,20436900,442.00
2016-12-07,466.00,474.00,450.00,454.00,23151000,454.00
2016-12-06,484.00,488.00,460.00,460.00,39817300,460.00
2016-12-05,410.00,492.00,406.00,478.00,63462900,478.00
2016-12-02,494.00,525.00,486.00,498.00,64929900,498.00
2016-12-01,478.00,595.00,478.00,490.00,207733900,490.00
2016-11-30,488.00,490.00,470.00,478.00,5870600,478.00
2016-11-29,484.00,494.00,484.00,484.00,8468200,484.00
2016-11-28,492.00,505.00,462.00,484.00,18965500,484.00
2016-11-25,484.00,510.00,480.00,492.00,26379900,492.00
2016-11-24,466.00,520.00,462.00,484.00,22093900,484.00
2016-11-23,530.00,535.00,470.00,474.00,32986300,474.00
2016-11-22,550.00,560.00,510.00,520.00,45718200,520.00
2016-11-21,520.00,600.00,515.00,540.00,47402600,540.00
2016-11-18,565.00,615.00,515.00,520.00,103928200,520.00
2016-11-17,430.00,545.00,430.00,545.00,155171000,545.00
2016-11-16,410.00,444.00,410.00,438.00,60307400,438.00
2016-11-15,400.00,440.00,396.00,410.00,67367600,410.00
2016-11-14,404.00,414.00,382.00,400.00,47189600,400.00
2016-11-11,416.00,432.00,380.00,400.00,93442900,400.00
2016-11-10,320.00,396.00,320.00,396.00,123181500,396.00
2016-11-09,288.00,342.00,288.00,318.00,78684700,318.00
2016-11-08,286.00,296.00,282.00,288.00,10405400,288.00
2016-11-07,288.00,292.00,282.00,284.00,3299800,284.00
2016-11-04,278.00,292.00,276.00,288.00,4250700,288.00
2016-11-03,286.00,288.00,278.00,278.00,4342800,278.00
2016-11-02,286.00,294.00,282.00,284.00,7327100,284.00
2016-11-01,290.00,296.00,286.00,286.00,4246200,286.00
2016-10-31,292.00,294.00,284.00,290.00,8370200,290.00
2016-10-28,294.00,296.00,290.00,292.00,3748100,292.00
2016-10-27,304.00,304.00,292.00,292.00,7789100,292.00
2016-10-26,304.00,306.00,288.00,300.00,13316200,300.00
2016-10-25,300.00,310.00,296.00,302.00,27919000,302.00
2016-10-24,276.00,304.00,276.00,296.00,48835200,296.00
2016-10-21,260.00,280.00,260.00,276.00,16929300,276.00
2016-10-20,272.00,276.00,252.00,260.00,9942500,260.00
2016-10-19,290.00,290.00,270.00,270.00,23114500,270.00
2016-10-18,300.00,306.00,278.00,286.00,25560300,286.00
2016-10-17,320.00,320.00,306.00,308.00,9882600,308.00
2016-10-14,318.00,324.00,316.00,318.00,7201100,318.00
2016-10-13,320.00,324.00,316.00,316.00,6234900,316.00
2016-10-12,320.00,330.00,316.00,320.00,9317400,320.00
2016-10-11,320.00,330.00,316.00,320.00,14920200,320.00
2016-10-10,322.00,326.00,316.00,320.00,3402500,320.00
2016-10-07,314.00,328.00,314.00,322.00,10731300,322.00
2016-10-06,320.00,330.00,316.00,316.00,9289500,316.00
2016-10-05,340.00,340.00,320.00,320.00,23616900,320.00
2016-10-04,346.00,352.00,336.00,338.00,25147300,338.00
2016-10-03,332.00,350.00,332.00,346.00,26343600,346.00
2016-09-30,332.00,352.00,328.00,330.00,41705200,330.00
2016-09-29,362.00,364.00,332.00,332.00,64628600,332.00
2016-09-28,292.00,362.00,292.00,356.00,96883900,356.00
2016-09-27,288.00,296.00,286.00,292.00,5141700,292.00
2016-09-26,292.00,294.00,284.00,288.00,4783300,288.00
2016-09-23,292.00,302.00,290.00,292.00,6460600,292.00
2016-09-22,296.00,306.00,294.00,294.00,7929200,294.00
2016-09-21,296.00,300.00,292.00,296.00,7309900,296.00
2016-09-20,302.00,312.00,294.00,294.00,24733800,294.00
2016-09-19,290.00,308.00,290.00,300.00,24303600,300.00
2016-09-16,288.00,310.00,288.00,290.00,33499600,290.00
2016-09-15,270.00,296.00,270.00,288.00,21869600,288.00
2016-09-14,286.00,288.00,268.00,270.00,13814200,270.00
2016-09-13,310.00,312.00,286.00,286.00,9923900,286.00
2016-09-12,310.00,310.00,310.00,310.00,000,310.00
2016-09-09,314.00,316.00,308.00,310.00,5832200,310.00
2016-09-08,314.00,324.00,308.00,312.00,17429200,312.00
2016-09-07,316.00,318.00,310.00,310.00,4823600,310.00
2016-09-06,316.00,322.00,312.00,314.00,6126400,314.00
2016-09-05,316.00,332.00,314.00,314.00,14363000,314.00
2016-09-02,320.00,322.00,314.00,314.00,7700900,314.00
2016-09-01,316.00,330.00,314.00,320.00,15636900,320.00
2016-08-31,310.00,332.00,306.00,316.00,31257800,316.00
2016-08-30,332.00,338.00,304.00,308.00,32596900,308.00
2016-08-29,356.00,356.00,330.00,332.00,26483600,332.00
2016-08-26,382.00,382.00,356.00,356.00,16420700,356.00
2016-08-25,362.00,382.00,356.00,366.00,42436100,366.00
2016-08-24,358.00,380.00,344.00,360.00,72408100,360.00
2016-08-23,320.00,372.00,318.00,354.00,126979000,354.00
2016-08-22,342.00,350.00,318.00,324.00,46378100,324.00
2016-08-19,308.00,356.00,284.00,338.00,185850200,338.00
2016-08-18,336.00,338.00,308.00,308.00,60022300,308.00
2016-08-17,342.00,342.00,342.00,342.00,000,342.00
2016-08-16,382.00,382.00,342.00,342.00,82759000,342.00
2016-08-15,400.00,416.00,364.00,378.00,54780800,378.00
2016-08-12,428.00,428.00,402.00,404.00,23704400,404.00
2016-08-11,438.00,442.00,426.00,426.00,9538800,426.00
2016-08-10,444.00,450.00,436.00,438.00,14707900,438.00
2016-08-09,458.00,458.00,444.00,444.00,15485200,444.00
2016-08-08,462.00,468.00,452.00,454.00,19600000,454.00
2016-08-05,452.00,470.00,448.00,458.00,41596000,458.00
2016-08-04,448.00,464.00,444.00,448.00,27052300,448.00
2016-08-03,456.00,466.00,444.00,444.00,30798500,444.00
2016-08-02,466.00,494.00,450.00,454.00,85638100,454.00
2016-08-01,416.00,480.00,416.00,462.00,152812300,462.00
2016-07-29,406.00,430.00,406.00,416.00,29752900,416.00
2016-07-28,408.00,414.00,402.00,406.00,15498100,406.00
2016-07-27,406.00,424.00,404.00,408.00,22090200,408.00
2016-07-26,414.00,432.00,396.00,404.00,26389200,404.00
2016-07-25,428.00,444.00,412.00,414.00,20631100,414.00
2016-07-22,420.00,454.00,382.00,422.00,86640100,422.00
2016-07-21,452.00,468.00,420.00,420.00,51263000,420.00
2016-07-20,458.00,500.00,420.00,448.00,205935600,448.00
2016-07-19,458.00,458.00,458.00,458.00,000,458.00
2016-07-18,458.00,458.00,458.00,458.00,000,458.00
2016-07-15,458.00,458.00,458.00,458.00,000,458.00
2016-07-14,458.00,458.00,458.00,458.00,000,458.00
2016-07-13,458.00,458.00,458.00,458.00,000,458.00
2016-07-12,376.00,458.00,374.00,458.00,155664400,458.00
2016-07-11,314.00,372.00,280.00,372.00,137140300,372.00
2016-07-08,302.00,302.00,302.00,302.00,000,302.00
2016-07-07,302.00,302.00,302.00,302.00,000,302.00
2016-07-06,302.00,302.00,302.00,302.00,000,302.00
2016-07-05,302.00,302.00,302.00,302.00,000,302.00
2016-07-04,302.00,302.00,302.00,302.00,000,302.00
2016-07-01,302.00,302.00,302.00,302.00,000,302.00
2016-06-30,264.00,312.00,254.00,302.00,167273600,302.00
2016-06-28,184.00,196.00,184.00,188.00,23625100,188.00
2016-06-27,176.00,192.00,168.00,184.00,20369800,184.00
2016-06-24,186.00,186.00,171.00,176.00,15693800,176.00
2016-06-23,189.00,198.00,181.00,185.00,15587900,185.00
2016-06-22,188.00,200.00,183.00,189.00,55262100,189.00
2016-06-21,184.00,197.00,183.00,187.00,47051700,187.00
2016-06-20,161.00,184.00,157.00,182.00,42246700,182.00
2016-06-17,153.00,163.00,153.00,158.00,5334400,158.00
2016-06-16,156.00,158.00,153.00,153.00,4387500,153.00
2016-06-15,152.00,160.00,152.00,156.00,4814900,156.00
2016-06-14,168.00,172.00,160.00,160.00,9125100,160.00
2016-06-13,163.00,173.00,163.00,168.00,21542100,168.00
2016-06-10,159.00,165.00,155.00,162.00,26615100,162.00
2016-06-09,148.00,162.00,144.00,155.00,28565900,155.00
2016-06-08,150.00,151.00,147.00,147.00,2716400,147.00
2016-06-07,150.00,153.00,149.00,149.00,2658700,149.00
2016-06-06,155.00,155.00,148.00,150.00,2606200,150.00
2016-06-03,150.00,157.00,149.00,151.00,5143900,151.00
2016-06-02,155.00,155.00,149.00,150.00,5319700,150.00
2016-06-01,153.00,156.00,152.00,152.00,2235400,152.00
2016-05-31,154.00,158.00,153.00,153.00,2142800,153.00
2016-05-30,155.00,159.00,153.00,156.00,2787000,156.00
2016-05-27,155.00,161.00,148.00,155.00,2488000,155.00
2016-05-26,159.00,161.00,154.00,157.00,2751800,157.00
2016-05-25,158.00,162.00,156.00,159.00,3510400,159.00
2016-05-24,158.00,163.00,156.00,156.00,2316900,156.00
2016-05-23,156.00,163.00,156.00,158.00,6360200,158.00
2016-05-20,154.00,158.00,152.00,156.00,4032400,156.00
2016-05-19,158.00,159.00,150.00,154.00,3914200,154.00
2016-05-18,159.00,160.00,152.00,158.00,4279600,158.00
2016-05-17,161.00,173.00,157.00,159.00,37160100,159.00
2016-05-16,162.00,167.00,161.00,162.00,3041300,162.00
2016-05-13,168.00,175.00,161.00,164.00,7291800,164.00
2016-05-12,170.00,175.00,158.00,168.00,6169600,168.00
2016-05-11,167.00,184.00,167.00,167.00,12167300,167.00
2016-05-10,155.00,185.00,155.00,179.00,37056100,179.00
2016-05-09,161.00,163.00,150.00,152.00,3848400,152.00
2016-05-06,161.00,161.00,161.00,161.00,000,161.00
