Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-01-31,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-01-30,1800.00,1800.00,1800.00,1800.00,000,1800.00
2017-01-27,1800.00,1800.00,1800.00,1800.00,500,1800.00
2017-01-26,1795.00,1795.00,1795.00,1795.00,000,1795.00
2017-01-25,1795.00,1795.00,1795.00,1795.00,000,1795.00
2017-01-24,1795.00,1795.00,1795.00,1795.00,000,1795.00
2017-01-23,1795.00,1795.00,1795.00,1795.00,2000,1795.00
2017-01-20,1795.00,1795.00,1795.00,1795.00,500,1795.00
2017-01-19,1790.00,1795.00,1790.00,1795.00,10500,1795.00
2017-01-18,1795.00,1795.00,1795.00,1795.00,000,1795.00
2017-01-17,1795.00,1795.00,1795.00,1795.00,1000,1795.00
2017-01-16,1795.00,1795.00,1795.00,1795.00,13000,1795.00
2017-01-13,1795.00,1795.00,1795.00,1795.00,7500,1795.00
2017-01-12,1795.00,1795.00,1755.00,1795.00,90700,1795.00
2017-01-11,1795.00,1795.00,1790.00,1795.00,118700,1795.00
2017-01-10,1790.00,1795.00,1790.00,1795.00,32700,1795.00
2017-01-09,1790.00,1795.00,1790.00,1790.00,10000,1790.00
2017-01-06,1790.00,1790.00,1790.00,1790.00,5500,1790.00
2017-01-05,1790.00,1790.00,1790.00,1790.00,000,1790.00
2017-01-04,1780.00,1790.00,1780.00,1790.00,5100,1790.00
2017-01-03,1760.00,1780.00,1760.00,1780.00,2500,1780.00
2017-01-02,1760.00,1760.00,1760.00,1760.00,000,1760.00
2016-12-30,1760.00,1760.00,1755.00,1760.00,24400,1760.00
2016-12-29,1755.00,1760.00,1755.00,1755.00,11100,1755.00
2016-12-28,1750.00,1750.00,1745.00,1750.00,32500,1750.00
2016-12-27,1740.00,1745.00,1730.00,1745.00,82600,1745.00
2016-12-26,1730.00,1730.00,1730.00,1730.00,000,1730.00
2016-12-23,1720.00,1730.00,1720.00,1730.00,1500,1730.00
2016-12-22,1700.00,1730.00,1700.00,1710.00,331800,1710.00
2016-12-21,1700.00,1800.00,1700.00,1700.00,72800,1700.00
2016-12-20,1650.00,1750.00,1650.00,1700.00,37400,1700.00
2016-12-19,1550.00,1700.00,1550.00,1650.00,47500,1650.00
2016-12-16,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-15,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-14,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-13,1600.00,1600.00,1550.00,1600.00,3000,1600.00
2016-12-12,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-09,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-08,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-07,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-06,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-05,1600.00,1600.00,1600.00,1600.00,000,1600.00
2016-12-02,1400.00,1730.00,1400.00,1600.00,500,1600.00
2016-12-01,1400.00,1400.00,1400.00,1400.00,000,1400.00
2016-11-30,1400.00,1400.00,1400.00,1400.00,000,1400.00
2016-11-29,1400.00,1400.00,1400.00,1400.00,000,1400.00
2016-11-28,1400.00,1400.00,1400.00,1400.00,000,1400.00
2016-11-25,1400.00,1400.00,1400.00,1400.00,100,1400.00
2016-11-24,1355.00,1355.00,1355.00,1355.00,000,1355.00
2016-11-23,1355.00,1355.00,1355.00,1355.00,000,1355.00
2016-11-22,1355.00,1355.00,1355.00,1355.00,100,1355.00
2016-11-21,1090.00,1090.00,1070.00,1090.00,54700,1090.00
2016-11-18,1090.00,1090.00,1090.00,1090.00,100,1090.00
2016-11-17,1030.00,1030.00,1030.00,1030.00,9600,1030.00
2016-11-16,990.00,1040.00,990.00,1040.00,9600,1040.00
2016-11-15,990.00,990.00,990.00,990.00,000,990.00
2016-11-14,990.00,990.00,990.00,990.00,000,990.00
2016-11-11,990.00,990.00,990.00,990.00,000,990.00
2016-11-10,990.00,990.00,990.00,990.00,000,990.00
2016-11-09,990.00,990.00,990.00,990.00,100,990.00
2016-11-08,990.00,990.00,990.00,990.00,800,990.00
2016-11-07,1090.00,1090.00,1090.00,1090.00,000,1090.00
2016-11-04,1090.00,1090.00,1090.00,1090.00,000,1090.00
2016-11-03,1090.00,1090.00,1090.00,1090.00,000,1090.00
2016-11-02,1090.00,1090.00,1090.00,1090.00,000,1090.00
2016-11-01,1090.00,1090.00,1090.00,1090.00,000,1090.00
2016-10-31,1090.00,1090.00,1090.00,1090.00,000,1090.00
2016-10-28,1090.00,1090.00,1090.00,1090.00,100,1090.00
2016-10-27,980.00,980.00,980.00,980.00,000,980.00
2016-10-26,980.00,980.00,980.00,980.00,300,980.00
2016-10-25,980.00,980.00,980.00,980.00,000,980.00
2016-10-24,980.00,980.00,980.00,980.00,100,980.00
2016-10-21,980.00,980.00,980.00,980.00,000,980.00
2016-10-20,980.00,980.00,960.00,980.00,12400,980.00
2016-10-19,1000.00,1000.00,1000.00,1000.00,100,1000.00
2016-10-18,1040.00,1040.00,1040.00,1040.00,000,1040.00
2016-10-17,1040.00,1040.00,1040.00,1040.00,000,1040.00
2016-10-14,1040.00,1040.00,1040.00,1040.00,000,1040.00
2016-10-13,1040.00,1040.00,1040.00,1040.00,000,1040.00
2016-10-12,1040.00,1040.00,1040.00,1040.00,000,1040.00
2016-10-11,1040.00,1040.00,1040.00,1040.00,000,1040.00
2016-10-10,1040.00,1040.00,1040.00,1040.00,000,1040.00
2016-10-07,1040.00,1040.00,1040.00,1040.00,000,1040.00
