Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,88.00,99.00,84.00,89.00,6248500,89.00
2017-01-31,88.00,88.00,81.00,88.00,664600,88.00
2017-01-30,88.00,89.00,82.00,86.00,526200,86.00
2017-01-27,81.00,107.00,81.00,88.00,12601600,88.00
2017-01-26,81.00,82.00,77.00,80.00,827400,80.00
2017-01-25,78.00,82.00,76.00,81.00,276400,81.00
2017-01-24,78.00,82.00,78.00,82.00,3300,82.00
2017-01-23,80.00,85.00,77.00,82.00,189000,82.00
2017-01-20,79.00,88.00,78.00,80.00,1337200,80.00
2017-01-19,75.00,79.00,74.00,77.00,243500,77.00
2017-01-18,75.00,78.00,73.00,76.00,53100,76.00
2017-01-17,77.00,78.00,74.00,75.00,45100,75.00
2017-01-16,77.00,79.00,74.00,77.00,28100,77.00
2017-01-13,78.00,82.00,72.00,77.00,1319700,77.00
2017-01-12,76.00,78.00,76.00,78.00,2000,78.00
2017-01-11,77.00,77.00,76.00,76.00,6500,76.00
2017-01-10,79.00,80.00,74.00,77.00,27600,77.00
2017-01-09,80.00,80.00,75.00,79.00,20000,79.00
2017-01-06,76.00,80.00,75.00,80.00,45100,80.00
2017-01-05,79.00,79.00,79.00,79.00,000,79.00
2017-01-04,79.00,79.00,79.00,79.00,000,79.00
2017-01-03,79.00,79.00,75.00,79.00,1900,79.00
2017-01-02,80.00,80.00,80.00,80.00,000,80.00
2016-12-30,79.00,80.00,72.00,80.00,1145400,80.00
2016-12-29,82.00,82.00,72.00,72.00,528100,72.00
2016-12-28,74.00,84.00,74.00,79.00,24800,79.00
2016-12-27,78.00,79.00,74.00,79.00,185000,79.00
2016-12-26,82.00,82.00,82.00,82.00,000,82.00
2016-12-23,80.00,82.00,80.00,82.00,400,82.00
2016-12-22,78.00,83.00,78.00,83.00,300,83.00
2016-12-21,75.00,100.00,75.00,84.00,193400,84.00
2016-12-20,77.00,77.00,75.00,75.00,12500,75.00
2016-12-19,73.00,79.00,73.00,77.00,110700,77.00
2016-12-16,74.00,85.00,72.00,74.00,907300,74.00
2016-12-15,79.00,79.00,73.00,74.00,167100,74.00
2016-12-14,78.00,78.00,78.00,78.00,200,78.00
2016-12-13,80.00,80.00,80.00,80.00,200,80.00
2016-12-12,80.00,80.00,80.00,80.00,000,80.00
2016-12-09,78.00,80.00,76.00,80.00,4700,80.00
2016-12-08,78.00,78.00,78.00,78.00,100,78.00
2016-12-07,78.00,81.00,74.00,81.00,98000,81.00
2016-12-06,80.00,82.00,80.00,81.00,38000,81.00
2016-12-05,80.00,80.00,80.00,80.00,400,80.00
2016-12-02,78.00,78.00,78.00,78.00,300,78.00
2016-12-01,81.00,81.00,81.00,81.00,000,81.00
2016-11-30,81.00,81.00,81.00,81.00,000,81.00
2016-11-29,81.00,81.00,81.00,81.00,2000,81.00
2016-11-28,80.00,80.00,80.00,80.00,000,80.00
2016-11-25,76.00,80.00,76.00,80.00,21000,80.00
2016-11-24,80.00,80.00,80.00,80.00,000,80.00
2016-11-23,76.00,80.00,74.00,80.00,8500,80.00
2016-11-22,75.00,77.00,73.00,77.00,104200,77.00
2016-11-21,80.00,80.00,76.00,79.00,32700,79.00
2016-11-18,82.00,82.00,72.00,80.00,99200,80.00
2016-11-17,80.00,80.00,80.00,80.00,000,80.00
2016-11-16,75.00,80.00,74.00,80.00,2800,80.00
2016-11-15,74.00,76.00,74.00,75.00,64500,75.00
2016-11-14,73.00,80.00,73.00,80.00,282000,80.00
2016-11-11,74.00,74.00,74.00,74.00,55000,74.00
2016-11-10,80.00,82.00,80.00,80.00,301100,80.00
2016-11-09,80.00,80.00,80.00,80.00,100,80.00
