Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,53.00,53.00,52.00,53.00,61900,53.00
2017-03-29,53.00,53.00,53.00,53.00,10100,53.00
2017-03-28,53.00,53.00,53.00,53.00,000,53.00
2017-03-27,53.00,54.00,53.00,53.00,13500,53.00
2017-03-24,54.00,55.00,53.00,55.00,78400,55.00
2017-03-23,55.00,55.00,54.00,54.00,4600,54.00
2017-03-22,53.00,60.00,53.00,55.00,82600,55.00
2017-03-21,53.00,54.00,52.00,53.00,64000,53.00
2017-03-20,53.00,54.00,53.00,54.00,12500,54.00
2017-03-17,54.00,56.00,53.00,54.00,174400,54.00
2017-03-16,54.00,54.00,54.00,54.00,1000,54.00
2017-03-15,54.00,54.00,52.00,54.00,9100,54.00
2017-03-14,54.00,54.00,54.00,54.00,5000,54.00
2017-03-13,52.00,56.00,52.00,53.00,409400,53.00
2017-03-10,52.00,52.00,51.00,52.00,114900,52.00
2017-03-09,52.00,55.00,51.00,52.00,270800,52.00
2017-03-08,53.00,59.00,53.00,55.00,16600,55.00
2017-03-07,54.00,54.00,53.00,53.00,26000,53.00
2017-03-06,53.00,54.00,53.00,54.00,18600,54.00
2017-03-03,55.00,55.00,55.00,55.00,9100,55.00
2017-03-02,54.00,55.00,53.00,54.00,51900,54.00
2017-03-01,54.00,54.00,54.00,54.00,5600,54.00
2017-02-28,52.00,53.00,52.00,53.00,7800,53.00
2017-02-27,53.00,53.00,52.00,52.00,5400,52.00
2017-02-24,54.00,54.00,52.00,53.00,53000,53.00
2017-02-23,54.00,56.00,54.00,54.00,23000,54.00
2017-02-22,53.00,53.00,52.00,53.00,22600,53.00
2017-02-21,53.00,56.00,53.00,54.00,61700,54.00
2017-02-20,55.00,56.00,53.00,54.00,120200,54.00
2017-02-17,54.00,55.00,54.00,55.00,100,55.00
2017-02-16,56.00,58.00,54.00,54.00,121700,54.00
2017-02-15,56.00,56.00,56.00,56.00,000,56.00
2017-02-14,60.00,60.00,56.00,56.00,45900,56.00
2017-02-13,60.00,61.00,59.00,60.00,41600,60.00
2017-02-10,58.00,60.00,56.00,60.00,182100,60.00
2017-02-09,58.00,58.00,56.00,58.00,355100,58.00
2017-02-08,57.00,58.00,57.00,58.00,42400,58.00
2017-02-07,58.00,59.00,57.00,57.00,33600,57.00
2017-02-06,57.00,58.00,57.00,57.00,13400,57.00
2017-02-03,58.00,58.00,56.00,57.00,58500,57.00
2017-02-02,58.00,58.00,56.00,58.00,183600,58.00
2017-02-01,60.00,60.00,57.00,58.00,109600,58.00
2017-01-31,60.00,63.00,58.00,60.00,223400,60.00
2017-01-30,59.00,60.00,57.00,59.00,119500,59.00
2017-01-27,63.00,64.00,56.00,59.00,314400,59.00
2017-01-26,59.00,64.00,58.00,63.00,146400,63.00
2017-01-25,68.00,68.00,59.00,59.00,453900,59.00
2017-01-24,69.00,73.00,66.00,69.00,1292600,69.00
2017-01-23,57.00,73.00,52.00,70.00,1769400,70.00
2017-01-20,67.00,69.00,55.00,57.00,787200,57.00
2017-01-19,52.00,71.00,52.00,67.00,2829400,67.00
2017-01-18,52.00,54.00,52.00,53.00,11300,53.00
2017-01-17,53.00,53.00,52.00,52.00,3900,52.00
2017-01-16,52.00,53.00,52.00,53.00,100,53.00
2017-01-13,53.00,53.00,52.00,52.00,5000,52.00
2017-01-12,53.00,55.00,51.00,51.00,110400,51.00
2017-01-11,52.00,53.00,52.00,53.00,100,53.00
2017-01-10,52.00,53.00,52.00,52.00,200,52.00
2017-01-09,52.00,54.00,52.00,52.00,22300,52.00
2017-01-06,53.00,53.00,51.00,52.00,83900,52.00
2017-01-05,53.00,53.00,52.00,52.00,7800,52.00
2017-01-04,53.00,53.00,53.00,53.00,000,53.00
2017-01-03,53.00,53.00,53.00,53.00,000,53.00
2017-01-02,53.00,53.00,53.00,53.00,000,53.00
2016-12-30,53.00,53.00,53.00,53.00,100,53.00
2016-12-29,51.00,52.00,51.00,52.00,36000,52.00
2016-12-28,61.00,61.00,53.00,53.00,6700,53.00
2016-12-27,51.00,53.00,51.00,51.00,32100,51.00
2016-12-26,52.00,52.00,52.00,52.00,000,52.00
2016-12-23,53.00,53.00,52.00,52.00,70100,52.00
2016-12-22,53.00,53.00,51.00,51.00,8700,51.00
2016-12-21,51.00,52.00,51.00,52.00,16100,52.00
2016-12-20,52.00,53.00,51.00,51.00,21300,51.00
2016-12-19,52.00,52.00,52.00,52.00,000,52.00
2016-12-16,54.00,54.00,51.00,52.00,123100,52.00
2016-12-15,53.00,54.00,53.00,54.00,53500,54.00
2016-12-14,58.00,58.00,52.00,53.00,120000,53.00
2016-12-13,55.00,57.00,55.00,57.00,100,57.00
2016-12-12,55.00,55.00,55.00,55.00,000,55.00
2016-12-09,55.00,55.00,55.00,55.00,000,55.00
2016-12-08,53.00,55.00,52.00,55.00,24400,55.00
2016-12-07,56.00,58.00,54.00,56.00,66700,56.00
2016-12-06,58.00,63.00,53.00,57.00,321000,57.00
2016-12-05,52.00,58.00,52.00,56.00,100800,56.00
2016-12-02,52.00,52.00,51.00,52.00,1700,52.00
2016-12-01,52.00,53.00,52.00,53.00,12200,53.00
2016-11-30,52.00,52.00,52.00,52.00,1900,52.00
2016-11-29,52.00,52.00,52.00,52.00,100,52.00
2016-11-28,51.00,52.00,51.00,52.00,100,52.00
2016-11-25,52.00,52.00,51.00,51.00,700,51.00
2016-11-24,52.00,52.00,51.00,51.00,200,51.00
2016-11-23,52.00,52.00,52.00,52.00,100,52.00
2016-11-22,52.00,52.00,52.00,52.00,000,52.00
2016-11-21,52.00,52.00,52.00,52.00,000,52.00
2016-11-18,52.00,52.00,52.00,52.00,20500,52.00
2016-11-17,52.00,52.00,52.00,52.00,100,52.00
2016-11-16,52.00,52.00,52.00,52.00,9700,52.00
2016-11-15,52.00,52.00,52.00,52.00,100,52.00
2016-11-14,54.00,54.00,50.00,50.00,5800,50.00
2016-11-11,53.00,53.00,50.00,50.00,52600,50.00
2016-11-10,55.00,55.00,51.00,51.00,92800,51.00
2016-11-09,54.00,54.00,53.00,53.00,300,53.00
2016-11-08,54.00,54.00,50.00,50.00,2200,50.00
2016-11-07,54.00,54.00,54.00,54.00,100,54.00
2016-11-04,54.00,54.00,54.00,54.00,100,54.00
2016-11-03,54.00,54.00,51.00,54.00,300,54.00
2016-11-02,55.00,55.00,53.00,53.00,400,53.00
2016-11-01,56.00,56.00,51.00,54.00,50100,54.00
2016-10-31,52.00,56.00,52.00,56.00,500,56.00
2016-10-28,57.00,57.00,57.00,57.00,000,57.00
2016-10-27,56.00,57.00,56.00,57.00,200,57.00
2016-10-26,56.00,56.00,56.00,56.00,000,56.00
2016-10-25,56.00,56.00,56.00,56.00,000,56.00
2016-10-24,56.00,56.00,56.00,56.00,000,56.00
2016-10-21,56.00,56.00,56.00,56.00,100,56.00
2016-10-20,56.00,56.00,56.00,56.00,000,56.00
2016-10-19,56.00,56.00,56.00,56.00,100,56.00
2016-10-18,53.00,53.00,53.00,53.00,100,53.00
2016-10-17,56.00,56.00,56.00,56.00,100,56.00
2016-10-14,54.00,56.00,52.00,55.00,2100,55.00
2016-10-13,56.00,56.00,56.00,56.00,000,56.00
2016-10-12,54.00,56.00,54.00,56.00,200,56.00
2016-10-11,51.00,56.00,51.00,56.00,100,56.00
2016-10-10,53.00,55.00,51.00,51.00,500,51.00
2016-10-07,53.00,53.00,53.00,53.00,2200,53.00
2016-10-06,55.00,55.00,55.00,55.00,000,55.00
2016-10-05,54.00,55.00,54.00,55.00,7200,55.00
2016-10-04,55.00,55.00,55.00,55.00,200,55.00
2016-10-03,65.00,65.00,54.00,55.00,20200,55.00
2016-09-30,53.00,55.00,51.00,55.00,2000,55.00
2016-09-29,54.00,54.00,53.00,53.00,1100,53.00
2016-09-28,54.00,55.00,54.00,54.00,3800,54.00
2016-09-27,57.00,57.00,54.00,55.00,1800,55.00
2016-09-26,57.00,57.00,57.00,57.00,100,57.00
2016-09-23,53.00,53.00,53.00,53.00,100,53.00
2016-09-22,56.00,56.00,56.00,56.00,100,56.00
2016-09-21,57.00,57.00,53.00,56.00,400,56.00
2016-09-20,54.00,57.00,51.00,55.00,47300,55.00
2016-09-19,67.00,67.00,53.00,53.00,2300,53.00
2016-09-16,54.00,57.00,54.00,57.00,100,57.00
2016-09-15,54.00,54.00,54.00,54.00,100,54.00
2016-09-14,56.00,56.00,53.00,53.00,1200,53.00
2016-09-13,54.00,54.00,54.00,54.00,000,54.00
2016-09-12,54.00,54.00,54.00,54.00,000,54.00
2016-09-09,56.00,56.00,54.00,54.00,2100,54.00
2016-09-08,60.00,60.00,54.00,54.00,2300,54.00
2016-09-07,57.00,57.00,57.00,57.00,100,57.00
2016-09-06,53.00,53.00,53.00,53.00,100,53.00
2016-09-05,57.00,57.00,51.00,55.00,5500,55.00
2016-09-02,53.00,53.00,53.00,53.00,100,53.00
2016-09-01,53.00,53.00,53.00,53.00,10000,53.00
2016-08-31,53.00,53.00,53.00,53.00,2500,53.00
2016-08-30,56.00,56.00,55.00,55.00,200,55.00
2016-08-29,55.00,55.00,55.00,55.00,200,55.00
2016-08-26,54.00,55.00,53.00,55.00,11600,55.00
2016-08-25,64.00,64.00,56.00,56.00,10500,56.00
2016-08-24,63.00,63.00,57.00,57.00,1400,57.00
2016-08-23,54.00,62.00,54.00,54.00,500,54.00
2016-08-22,64.00,64.00,54.00,54.00,900,54.00
2016-08-19,54.00,64.00,54.00,54.00,124700,54.00
2016-08-18,60.00,64.00,54.00,54.00,28600,54.00
2016-08-17,54.00,54.00,54.00,54.00,000,54.00
2016-08-16,55.00,65.00,54.00,54.00,700,54.00
2016-08-15,61.00,61.00,55.00,55.00,3900,55.00
2016-08-12,61.00,61.00,51.00,53.00,618300,53.00
2016-08-11,56.00,56.00,56.00,56.00,000,56.00
2016-08-10,55.00,60.00,55.00,56.00,1300,56.00
2016-08-09,56.00,56.00,56.00,56.00,100,56.00
2016-08-08,61.00,61.00,58.00,58.00,200,58.00
2016-08-05,56.00,56.00,56.00,56.00,000,56.00
2016-08-04,56.00,61.00,56.00,56.00,300,56.00
2016-08-03,58.00,58.00,58.00,58.00,100,58.00
2016-08-02,56.00,59.00,55.00,55.00,11800,55.00
2016-08-01,56.00,61.00,55.00,55.00,700,55.00
2016-07-29,64.00,64.00,56.00,56.00,5800,56.00
2016-07-28,55.00,65.00,55.00,55.00,37100,55.00
2016-07-27,55.00,55.00,55.00,55.00,000,55.00
2016-07-26,55.00,55.00,55.00,55.00,2000,55.00
2016-07-25,54.00,55.00,54.00,55.00,2300,55.00
2016-07-22,63.00,63.00,55.00,55.00,2500,55.00
2016-07-21,55.00,63.00,53.00,53.00,19700,53.00
2016-07-20,55.00,55.00,55.00,55.00,100,55.00
2016-07-19,62.00,62.00,52.00,53.00,31000,53.00
2016-07-18,56.00,56.00,56.00,56.00,000,56.00
2016-07-15,56.00,56.00,56.00,56.00,000,56.00
2016-07-14,56.00,56.00,56.00,56.00,000,56.00
2016-07-13,56.00,56.00,56.00,56.00,000,56.00
2016-07-12,56.00,56.00,56.00,56.00,000,56.00
2016-07-11,56.00,56.00,56.00,56.00,000,56.00
2016-07-08,56.00,56.00,56.00,56.00,000,56.00
2016-07-07,56.00,56.00,56.00,56.00,000,56.00
2016-07-06,56.00,56.00,56.00,56.00,000,56.00
2016-07-05,56.00,56.00,56.00,56.00,000,56.00
2016-07-04,56.00,56.00,56.00,56.00,000,56.00
2016-07-01,56.00,56.00,56.00,56.00,100,56.00
2016-06-30,56.00,58.00,56.00,58.00,10100,58.00
2016-06-28,56.00,56.00,56.00,56.00,000,56.00
2016-06-27,56.00,56.00,56.00,56.00,000,56.00
2016-06-24,56.00,56.00,56.00,56.00,000,56.00
2016-06-23,59.00,59.00,56.00,56.00,21400,56.00
2016-06-22,59.00,59.00,59.00,59.00,000,59.00
2016-06-21,59.00,59.00,59.00,59.00,10600,59.00
2016-06-20,65.00,65.00,65.00,65.00,000,65.00
2016-06-17,65.00,65.00,65.00,65.00,000,65.00
2016-06-16,65.00,65.00,65.00,65.00,1000,65.00
2016-06-15,65.00,65.00,65.00,65.00,100,65.00
2016-06-14,53.00,56.00,53.00,56.00,32300,56.00
2016-06-13,52.00,53.00,52.00,53.00,1200,53.00
2016-06-10,54.00,54.00,54.00,54.00,000,54.00
2016-06-09,52.00,54.00,52.00,54.00,1700,54.00
2016-06-08,55.00,55.00,52.00,55.00,800,55.00
2016-06-07,52.00,62.00,52.00,56.00,1100,56.00
2016-06-06,55.00,56.00,52.00,52.00,94300,52.00
2016-06-03,55.00,55.00,55.00,55.00,000,55.00
2016-06-02,55.00,55.00,55.00,55.00,4000,55.00
2016-06-01,56.00,59.00,56.00,59.00,100,59.00
2016-05-31,58.00,58.00,56.00,56.00,400,56.00
2016-05-30,58.00,58.00,58.00,58.00,000,58.00
2016-05-27,56.00,62.00,55.00,58.00,500,58.00
