Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,51.00,51.00,50.00,51.00,3422800,51.00
2017-03-29,50.00,51.00,50.00,51.00,11678900,51.00
2017-03-28,50.00,50.00,50.00,50.00,000,50.00
2017-03-27,50.00,51.00,50.00,50.00,17489300,50.00
2017-03-24,50.00,51.00,50.00,51.00,2199900,51.00
2017-03-23,50.00,51.00,50.00,50.00,4874000,50.00
2017-03-22,51.00,51.00,50.00,50.00,30012700,50.00
2017-03-21,50.00,51.00,50.00,51.00,14860000,51.00
2017-03-20,51.00,51.00,50.00,50.00,17118200,50.00
2017-03-17,51.00,51.00,50.00,50.00,12473400,50.00
2017-03-16,51.00,51.00,50.00,51.00,14801000,51.00
2017-03-15,52.00,52.00,50.00,50.00,11809200,50.00
2017-03-14,51.00,52.00,50.00,51.00,36517000,51.00
2017-03-13,51.00,51.00,50.00,50.00,8872100,50.00
2017-03-10,51.00,52.00,50.00,51.00,23162600,51.00
2017-03-09,51.00,52.00,51.00,51.00,11525900,51.00
2017-03-08,52.00,52.00,51.00,51.00,27811400,51.00
2017-03-07,51.00,52.00,51.00,52.00,9920300,52.00
2017-03-06,52.00,52.00,51.00,51.00,9529300,51.00
2017-03-03,52.00,53.00,51.00,52.00,20428600,52.00
2017-03-02,52.00,53.00,51.00,51.00,6381800,51.00
2017-03-01,52.00,53.00,51.00,51.00,22443300,51.00
2017-02-28,51.00,53.00,51.00,52.00,15380200,52.00
2017-02-27,53.00,53.00,51.00,51.00,26118400,51.00
2017-02-24,53.00,54.00,51.00,52.00,44067600,52.00
2017-02-23,52.00,56.00,52.00,52.00,98500800,52.00
2017-02-22,52.00,53.00,51.00,52.00,30542000,52.00
2017-02-21,53.00,54.00,51.00,52.00,87596100,52.00
2017-02-20,52.00,54.00,52.00,52.00,29914000,52.00
2017-02-17,53.00,53.00,52.00,52.00,42878200,52.00
2017-02-16,53.00,54.00,52.00,53.00,104958200,53.00
2017-02-15,53.00,53.00,53.00,53.00,000,53.00
2017-02-14,54.00,55.00,53.00,53.00,88957800,53.00
2017-02-13,55.00,56.00,54.00,54.00,26876800,54.00
2017-02-10,55.00,57.00,54.00,55.00,80838600,55.00
2017-02-09,53.00,57.00,53.00,55.00,120189700,55.00
2017-02-08,56.00,56.00,53.00,53.00,140044300,53.00
2017-02-07,57.00,58.00,55.00,56.00,93812100,56.00
2017-02-06,60.00,62.00,56.00,57.00,260966100,57.00
2017-02-03,55.00,67.00,55.00,60.00,1007062200,60.00
2017-02-02,56.00,57.00,54.00,55.00,81063600,55.00
2017-02-01,54.00,57.00,53.00,55.00,167320500,55.00
2017-01-31,54.00,56.00,52.00,54.00,158614600,54.00
2017-01-30,55.00,56.00,53.00,53.00,123781900,53.00
2017-01-27,53.00,60.00,53.00,55.00,412927300,55.00
2017-01-26,52.00,57.00,52.00,53.00,291520800,53.00
2017-01-25,52.00,53.00,52.00,52.00,44628700,52.00
2017-01-24,52.00,54.00,52.00,52.00,56835800,52.00
2017-01-23,53.00,54.00,52.00,52.00,37998500,52.00
2017-01-20,51.00,56.00,51.00,53.00,163424000,53.00
2017-01-19,51.00,54.00,51.00,51.00,88329800,51.00
2017-01-18,51.00,52.00,51.00,51.00,24364400,51.00
2017-01-17,52.00,52.00,50.00,51.00,34562900,51.00
2017-01-16,51.00,52.00,51.00,52.00,13020800,52.00
2017-01-13,52.00,52.00,51.00,51.00,3518400,51.00
2017-01-12,52.00,53.00,51.00,51.00,21355800,51.00
2017-01-11,51.00,54.00,50.00,52.00,68944300,52.00
2017-01-10,51.00,52.00,50.00,51.00,8017200,51.00
2017-01-09,51.00,52.00,50.00,51.00,19177400,51.00
2017-01-06,51.00,52.00,50.00,51.00,21625500,51.00
2017-01-05,51.00,52.00,50.00,51.00,16089400,51.00
2017-01-04,51.00,52.00,51.00,51.00,18124600,51.00
2017-01-03,51.00,52.00,51.00,51.00,3164700,51.00
2017-01-02,51.00,51.00,51.00,51.00,000,51.00
2016-12-30,53.00,53.00,51.00,51.00,17660100,51.00
2016-12-29,53.00,53.00,52.00,52.00,11520700,52.00
2016-12-28,51.00,54.00,51.00,53.00,68515100,53.00
2016-12-27,51.00,52.00,50.00,51.00,18856600,51.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,51.00,52.00,50.00,50.00,17871900,50.00
2016-12-22,53.00,53.00,51.00,51.00,36037200,51.00
2016-12-21,51.00,53.00,51.00,52.00,24246500,52.00
2016-12-20,52.00,53.00,51.00,51.00,27208600,51.00
2016-12-19,52.00,53.00,51.00,52.00,54267700,52.00
2016-12-16,52.00,53.00,51.00,51.00,14385100,51.00
2016-12-15,52.00,53.00,52.00,52.00,22969600,52.00
2016-12-14,52.00,53.00,52.00,52.00,23803700,52.00
2016-12-13,52.00,53.00,52.00,53.00,8099300,53.00
2016-12-12,52.00,52.00,52.00,52.00,000,52.00
2016-12-09,52.00,54.00,52.00,52.00,25468600,52.00
2016-12-08,52.00,53.00,51.00,52.00,40044600,52.00
2016-12-07,53.00,54.00,52.00,52.00,22646300,52.00
2016-12-06,53.00,55.00,53.00,53.00,45453900,53.00
2016-12-05,53.00,55.00,53.00,53.00,51055700,53.00
2016-12-02,53.00,54.00,52.00,53.00,46827800,53.00
2016-12-01,52.00,54.00,52.00,53.00,32185700,53.00
2016-11-30,54.00,55.00,52.00,52.00,46744200,52.00
2016-11-29,53.00,58.00,51.00,54.00,442242500,54.00
2016-11-28,52.00,53.00,51.00,52.00,66034400,52.00
2016-11-25,51.00,53.00,51.00,52.00,20764700,52.00
2016-11-24,52.00,55.00,51.00,52.00,149799300,52.00
2016-11-23,51.00,52.00,51.00,51.00,15619300,51.00
2016-11-22,51.00,53.00,50.00,51.00,84429700,51.00
2016-11-21,50.00,52.00,50.00,51.00,43572400,51.00
2016-11-18,50.00,51.00,50.00,50.00,17985300,50.00
2016-11-17,51.00,51.00,50.00,50.00,14817000,50.00
2016-11-16,50.00,51.00,50.00,50.00,21235600,50.00
2016-11-15,51.00,52.00,50.00,50.00,44690100,50.00
2016-11-14,51.00,51.00,50.00,50.00,63958700,50.00
2016-11-11,52.00,52.00,50.00,51.00,75670300,51.00
2016-11-10,52.00,54.00,51.00,52.00,56948800,52.00
2016-11-09,53.00,54.00,51.00,52.00,71015800,52.00
2016-11-08,52.00,55.00,52.00,53.00,116762500,53.00
2016-11-07,53.00,54.00,52.00,52.00,25257100,52.00
2016-11-04,52.00,54.00,52.00,53.00,39454000,53.00
2016-11-03,52.00,54.00,51.00,52.00,56169700,52.00
2016-11-02,52.00,54.00,51.00,52.00,58584000,52.00
2016-11-01,53.00,54.00,52.00,52.00,28652200,52.00
2016-10-31,54.00,55.00,52.00,53.00,74297800,53.00
2016-10-28,54.00,55.00,53.00,53.00,59021800,53.00
2016-10-27,56.00,58.00,54.00,54.00,192300000,54.00
2016-10-26,54.00,60.00,53.00,56.00,343921200,56.00
2016-10-25,54.00,57.00,54.00,54.00,105812000,54.00
2016-10-24,53.00,55.00,53.00,53.00,41923900,53.00
2016-10-21,55.00,56.00,53.00,53.00,94135500,53.00
2016-10-20,55.00,64.00,54.00,55.00,772580200,55.00
2016-10-19,54.00,56.00,53.00,55.00,282496300,55.00
2016-10-18,53.00,57.00,53.00,53.00,180137300,53.00
2016-10-17,52.00,55.00,51.00,52.00,173000700,52.00
2016-10-14,51.00,52.00,50.00,51.00,20934400,51.00
2016-10-13,52.00,53.00,50.00,51.00,49621300,51.00
2016-10-12,53.00,53.00,51.00,52.00,47554900,52.00
2016-10-11,52.00,54.00,52.00,53.00,95485000,53.00
2016-10-10,53.00,54.00,51.00,52.00,113574600,52.00
2016-10-07,52.00,55.00,51.00,53.00,158307200,53.00
2016-10-06,50.00,53.00,50.00,51.00,260467900,51.00
2016-10-05,50.00,50.00,50.00,50.00,5566300,50.00
2016-10-04,50.00,51.00,50.00,50.00,38232600,50.00
2016-10-03,50.00,51.00,50.00,50.00,43409600,50.00
2016-09-30,50.00,51.00,50.00,50.00,45013200,50.00
2016-09-29,51.00,52.00,50.00,50.00,145951600,50.00
2016-09-28,50.00,50.00,50.00,50.00,46922700,50.00
2016-09-27,50.00,50.00,50.00,50.00,164600,50.00
2016-09-26,50.00,50.00,50.00,50.00,690400,50.00
2016-09-23,50.00,50.00,50.00,50.00,766100,50.00
