Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,100.00,100.00,100.00,100.00,000,100.00
2017-03-29,100.00,100.00,100.00,100.00,000,100.00
2017-03-28,100.00,100.00,100.00,100.00,000,100.00
2017-03-27,100.00,100.00,100.00,100.00,000,100.00
2017-03-24,100.00,100.00,100.00,100.00,000,100.00
2017-03-23,100.00,100.00,100.00,100.00,000,100.00
2017-03-22,100.00,100.00,100.00,100.00,000,100.00
2017-03-21,100.00,100.00,100.00,100.00,200,100.00
2017-03-20,100.00,100.00,100.00,100.00,000,100.00
2017-03-17,100.00,100.00,100.00,100.00,000,100.00
2017-03-16,100.00,100.00,100.00,100.00,000,100.00
2017-03-15,100.00,100.00,100.00,100.00,000,100.00
2017-03-14,100.00,100.00,100.00,100.00,000,100.00
2017-03-13,100.00,100.00,100.00,100.00,000,100.00
2017-03-10,100.00,100.00,100.00,100.00,000,100.00
2017-03-09,100.00,100.00,100.00,100.00,300,100.00
2017-03-08,100.00,100.00,100.00,100.00,000,100.00
2017-03-07,100.00,100.00,100.00,100.00,1000,100.00
2017-03-06,100.00,100.00,100.00,100.00,2700,100.00
2017-03-03,95.00,95.00,95.00,95.00,000,95.00
2017-03-02,95.00,95.00,95.00,95.00,000,95.00
2017-03-01,95.00,95.00,95.00,95.00,000,95.00
2017-02-28,95.00,95.00,95.00,95.00,000,95.00
2017-02-27,95.00,95.00,95.00,95.00,200,95.00
2017-02-24,95.00,95.00,95.00,95.00,000,95.00
2017-02-23,95.00,95.00,95.00,95.00,000,95.00
2017-02-22,95.00,95.00,95.00,95.00,000,95.00
2017-02-21,95.00,95.00,95.00,95.00,000,95.00
2017-02-20,95.00,95.00,95.00,95.00,000,95.00
2017-02-17,95.00,95.00,95.00,95.00,000,95.00
2017-02-16,95.00,95.00,95.00,95.00,000,95.00
2017-02-15,95.00,95.00,95.00,95.00,000,95.00
2017-02-14,95.00,95.00,95.00,95.00,000,95.00
2017-02-13,95.00,95.00,95.00,95.00,000,95.00
2017-02-10,95.00,95.00,95.00,95.00,000,95.00
2017-02-09,95.00,95.00,95.00,95.00,000,95.00
2017-02-08,95.00,95.00,95.00,95.00,000,95.00
2017-02-07,95.00,95.00,95.00,95.00,000,95.00
2017-02-06,95.00,95.00,95.00,95.00,000,95.00
2017-02-03,95.00,95.00,95.00,95.00,000,95.00
2017-02-02,95.00,95.00,95.00,95.00,000,95.00
2017-02-01,95.00,95.00,95.00,95.00,000,95.00
2017-01-31,95.00,95.00,95.00,95.00,000,95.00
2017-01-30,95.00,95.00,95.00,95.00,000,95.00
2017-01-27,95.00,95.00,95.00,95.00,000,95.00
2017-01-26,95.00,95.00,95.00,95.00,000,95.00
2017-01-25,95.00,95.00,95.00,95.00,000,95.00
2017-01-24,95.00,95.00,95.00,95.00,000,95.00
2017-01-23,95.00,95.00,95.00,95.00,000,95.00
2017-01-20,95.00,95.00,95.00,95.00,000,95.00
2017-01-19,95.00,95.00,95.00,95.00,000,95.00
2017-01-18,95.00,95.00,95.00,95.00,000,95.00
2017-01-17,95.00,95.00,95.00,95.00,000,95.00
2017-01-16,95.00,95.00,95.00,95.00,000,95.00
2017-01-13,95.00,95.00,95.00,95.00,000,95.00
2017-01-12,95.00,95.00,95.00,95.00,000,95.00
2017-01-11,95.00,95.00,95.00,95.00,000,95.00
2017-01-10,95.00,95.00,95.00,95.00,000,95.00
2017-01-09,95.00,95.00,95.00,95.00,000,95.00
2017-01-06,95.00,95.00,95.00,95.00,000,95.00
2017-01-05,95.00,95.00,95.00,95.00,000,95.00
2017-01-04,95.00,95.00,95.00,95.00,000,95.00
2017-01-03,95.00,95.00,95.00,95.00,000,95.00
2017-01-02,95.00,95.00,95.00,95.00,000,95.00
2016-12-30,95.00,95.00,95.00,95.00,100,95.00
2016-12-29,95.00,95.00,95.00,95.00,000,95.00
2016-12-28,96.00,96.00,95.00,95.00,300,95.00
2016-12-27,96.00,96.00,96.00,96.00,100,96.00
2016-12-26,95.00,95.00,95.00,95.00,000,95.00
2016-12-23,95.00,95.00,95.00,95.00,400,95.00
2016-12-22,95.00,95.00,95.00,95.00,000,95.00
2016-12-21,95.00,95.00,95.00,95.00,000,95.00
2016-12-20,95.00,95.00,95.00,95.00,000,95.00
2016-12-19,98.00,98.00,95.00,95.00,5500,95.00
2016-12-16,111.00,111.00,105.00,105.00,2600,105.00
2016-12-15,111.00,111.00,111.00,111.00,000,111.00
2016-12-14,111.00,111.00,111.00,111.00,000,111.00
2016-12-13,111.00,111.00,111.00,111.00,000,111.00
2016-12-12,111.00,111.00,111.00,111.00,000,111.00
2016-12-09,111.00,111.00,111.00,111.00,000,111.00
2016-12-08,111.00,111.00,111.00,111.00,000,111.00
2016-12-07,111.00,111.00,111.00,111.00,000,111.00
2016-12-06,111.00,111.00,111.00,111.00,000,111.00
2016-12-05,111.00,111.00,111.00,111.00,000,111.00
2016-12-02,111.00,111.00,111.00,111.00,000,111.00
2016-12-01,111.00,111.00,111.00,111.00,000,111.00
2016-11-30,111.00,111.00,111.00,111.00,000,111.00
2016-11-29,111.00,111.00,111.00,111.00,000,111.00
2016-11-28,111.00,111.00,111.00,111.00,000,111.00
2016-11-25,111.00,111.00,111.00,111.00,000,111.00
2016-11-24,111.00,111.00,111.00,111.00,000,111.00
2016-11-23,111.00,111.00,111.00,111.00,000,111.00
2016-11-22,111.00,111.00,111.00,111.00,000,111.00
2016-11-21,111.00,111.00,111.00,111.00,000,111.00
2016-11-18,111.00,111.00,111.00,111.00,000,111.00
2016-11-17,111.00,111.00,111.00,111.00,000,111.00
2016-11-16,111.00,111.00,111.00,111.00,000,111.00
