Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,4190.00,4380.00,4190.00,4190.00,1586300,4190.00
2017-03-29,4320.00,4430.00,4300.00,4370.00,928900,4370.00
2017-03-28,4300.00,4300.00,4300.00,4300.00,000,4300.00
2017-03-27,4300.00,4380.00,4280.00,4300.00,472700,4300.00
2017-03-24,4360.00,4380.00,4310.00,4330.00,545300,4330.00
2017-03-23,4370.00,4400.00,4350.00,4350.00,365800,4350.00
2017-03-22,4380.00,4420.00,4340.00,4370.00,933500,4370.00
2017-03-21,4380.00,4380.00,4350.00,4380.00,515300,4380.00
2017-03-20,4420.00,4470.00,4320.00,4320.00,621000,4320.00
2017-03-17,4310.00,4380.00,4310.00,4380.00,467700,4380.00
2017-03-16,4410.00,4410.00,4310.00,4310.00,812100,4310.00
2017-03-15,4450.00,4450.00,4350.00,4360.00,314100,4360.00
2017-03-14,4380.00,4390.00,4340.00,4370.00,318200,4370.00
2017-03-13,4460.00,4480.00,4380.00,4380.00,512500,4380.00
2017-03-10,4490.00,4530.00,4460.00,4460.00,372200,4460.00
2017-03-09,4510.00,4610.00,4500.00,4510.00,936900,4510.00
2017-03-08,4610.00,4640.00,4600.00,4600.00,170300,4600.00
2017-03-07,4620.00,4640.00,4600.00,4610.00,587100,4610.00
2017-03-06,4620.00,4650.00,4600.00,4610.00,434300,4610.00
2017-03-03,4650.00,4650.00,4600.00,4620.00,358200,4620.00
2017-03-02,4610.00,4680.00,4610.00,4640.00,516400,4640.00
2017-03-01,4610.00,4710.00,4610.00,4610.00,421900,4610.00
2017-02-28,4710.00,4710.00,4650.00,4710.00,1025400,4710.00
2017-02-27,4750.00,4750.00,4690.00,4710.00,819900,4710.00
2017-02-24,4830.00,4830.00,4740.00,4740.00,364000,4740.00
2017-02-23,4830.00,4830.00,4760.00,4770.00,960000,4770.00
2017-02-22,4830.00,4830.00,4790.00,4830.00,429200,4830.00
2017-02-21,4850.00,4850.00,4810.00,4830.00,489400,4830.00
2017-02-20,4790.00,4860.00,4780.00,4850.00,549300,4850.00
2017-02-17,4790.00,4800.00,4770.00,4790.00,474700,4790.00
2017-02-16,4820.00,4860.00,4790.00,4790.00,862400,4790.00
2017-02-15,4820.00,4820.00,4820.00,4820.00,000,4820.00
2017-02-14,4820.00,4870.00,4820.00,4820.00,543000,4820.00
2017-02-13,4880.00,4920.00,4790.00,4820.00,2117900,4820.00
2017-02-10,4880.00,4910.00,4830.00,4880.00,1685300,4880.00
2017-02-09,4940.00,5000.00,4880.00,4880.00,1826000,4880.00
2017-02-08,4960.00,4980.00,4900.00,4940.00,1028600,4940.00
2017-02-07,5025.00,5025.00,4950.00,4970.00,904200,4970.00
2017-02-06,4930.00,5025.00,4920.00,5000.00,1048000,5000.00
2017-02-03,4920.00,4980.00,4910.00,4930.00,1345300,4930.00
2017-02-02,4980.00,4980.00,4920.00,4920.00,1009400,4920.00
2017-02-01,4980.00,5000.00,4920.00,4950.00,720300,4950.00
2017-01-31,4980.00,5050.00,4930.00,4980.00,2878100,4980.00
2017-01-30,5075.00,5125.00,5025.00,5025.00,1537400,5025.00
2017-01-27,5075.00,5100.00,5050.00,5075.00,168800,5075.00
2017-01-26,5100.00,5150.00,5075.00,5075.00,394300,5075.00
2017-01-25,5150.00,5175.00,5100.00,5100.00,693200,5100.00
2017-01-24,5200.00,5200.00,5125.00,5150.00,630700,5150.00
2017-01-23,5125.00,5200.00,5100.00,5150.00,1140800,5150.00
2017-01-20,5250.00,5325.00,5125.00,5125.00,1160400,5125.00
2017-01-19,5150.00,5425.00,5125.00,5250.00,3562100,5250.00
2017-01-18,5050.00,5175.00,5050.00,5100.00,1441300,5100.00
2017-01-17,5100.00,5125.00,5050.00,5050.00,1059900,5050.00
2017-01-16,5150.00,5175.00,5100.00,5100.00,502400,5100.00
2017-01-13,5175.00,5225.00,5125.00,5150.00,710800,5150.00
2017-01-12,5150.00,5225.00,5150.00,5175.00,1098100,5175.00
2017-01-11,5150.00,5200.00,5150.00,5150.00,1272400,5150.00
2017-01-10,5125.00,5200.00,5100.00,5150.00,838900,5150.00
2017-01-09,5175.00,5225.00,5075.00,5125.00,1129300,5125.00
2017-01-06,5225.00,5225.00,5125.00,5175.00,1127000,5175.00
2017-01-05,5325.00,5350.00,5150.00,5175.00,1018100,5175.00
2017-01-04,5075.00,5325.00,5050.00,5225.00,3968000,5225.00
2017-01-03,5075.00,5125.00,5025.00,5075.00,904200,5075.00
2017-01-02,5050.00,5050.00,5050.00,5050.00,000,5050.00
2016-12-30,5175.00,5175.00,5050.00,5050.00,859800,5050.00
2016-12-29,5100.00,5200.00,5075.00,5100.00,957600,5100.00
2016-12-28,5125.00,5175.00,5050.00,5100.00,861000,5100.00
2016-12-27,5050.00,5125.00,5025.00,5100.00,752000,5100.00
2016-12-26,5050.00,5050.00,5050.00,5050.00,000,5050.00
2016-12-23,5100.00,5150.00,5000.00,5050.00,773500,5050.00
2016-12-22,5025.00,5150.00,5025.00,5075.00,476700,5075.00
2016-12-21,5125.00,5200.00,5100.00,5150.00,135500,5150.00
2016-12-20,5225.00,5225.00,5025.00,5125.00,633500,5125.00
2016-12-19,5400.00,5450.00,5200.00,5225.00,471800,5225.00
2016-12-16,5275.00,5425.00,5250.00,5400.00,1253800,5400.00
2016-12-15,5400.00,5400.00,5200.00,5275.00,890400,5275.00
2016-12-14,5375.00,5500.00,5300.00,5400.00,856200,5400.00
2016-12-13,5675.00,5700.00,5350.00,5375.00,1106100,5375.00
2016-12-12,5675.00,5675.00,5675.00,5675.00,000,5675.00
2016-12-09,5825.00,5950.00,5650.00,5675.00,421600,5675.00
2016-12-08,5675.00,5950.00,5675.00,5825.00,1738400,5825.00
2016-12-07,5325.00,5675.00,5300.00,5575.00,2153900,5575.00
2016-12-06,5375.00,5375.00,5300.00,5300.00,232200,5300.00
2016-12-05,5325.00,5375.00,5250.00,5325.00,459500,5325.00
2016-12-02,5300.00,5350.00,5275.00,5325.00,144600,5325.00
2016-12-01,5475.00,5475.00,5250.00,5275.00,823700,5275.00
2016-11-30,5050.00,5475.00,5050.00,5475.00,1134800,5475.00
2016-11-29,5000.00,5075.00,4980.00,5025.00,255000,5025.00
2016-11-28,5125.00,5200.00,4980.00,4980.00,576800,4980.00
2016-11-25,5200.00,5275.00,5100.00,5125.00,330400,5125.00
2016-11-24,5250.00,5300.00,5200.00,5200.00,289600,5200.00
2016-11-23,5375.00,5375.00,5250.00,5300.00,173700,5300.00
2016-11-22,5250.00,5400.00,5225.00,5375.00,550900,5375.00
2016-11-21,5200.00,5225.00,5075.00,5225.00,586900,5225.00
2016-11-18,5225.00,5275.00,5150.00,5200.00,638200,5200.00
2016-11-17,5250.00,5325.00,5175.00,5200.00,574200,5200.00
2016-11-16,5150.00,5350.00,5150.00,5250.00,797800,5250.00
2016-11-15,5500.00,5500.00,5150.00,5150.00,877500,5150.00
2016-11-14,5600.00,5625.00,5375.00,5400.00,864300,5400.00
2016-11-11,5975.00,6000.00,5600.00,5600.00,1721700,5600.00
2016-11-10,5950.00,6125.00,5950.00,5975.00,447900,5975.00
2016-11-09,5975.00,6025.00,5750.00,5975.00,528700,5975.00
2016-11-08,5950.00,6000.00,5900.00,5950.00,480900,5950.00
2016-11-07,5875.00,6000.00,5750.00,5875.00,525300,5875.00
2016-11-04,5700.00,5875.00,5600.00,5875.00,339500,5875.00
2016-11-03,5850.00,5900.00,5700.00,5700.00,452400,5700.00
2016-11-02,5900.00,6025.00,5825.00,5825.00,506100,5825.00
2016-11-01,6050.00,6100.00,5900.00,6025.00,510000,6025.00
2016-10-31,6175.00,6175.00,6000.00,6050.00,709600,6050.00
2016-10-28,6200.00,6300.00,6150.00,6175.00,237500,6175.00
2016-10-27,6250.00,6300.00,6150.00,6300.00,544900,6300.00
2016-10-26,6350.00,6350.00,6150.00,6250.00,400100,6250.00
2016-10-25,6500.00,6500.00,6325.00,6350.00,487400,6350.00
2016-10-24,6150.00,6475.00,6150.00,6425.00,1774600,6425.00
2016-10-21,6200.00,6325.00,6150.00,6150.00,343700,6150.00
2016-10-20,6250.00,6250.00,6125.00,6125.00,513900,6125.00
2016-10-19,6350.00,6375.00,6200.00,6200.00,686900,6200.00
2016-10-18,5900.00,6350.00,5850.00,6325.00,2739600,6325.00
2016-10-17,5950.00,5950.00,5850.00,5900.00,333700,5900.00
2016-10-14,6000.00,6025.00,5825.00,5875.00,589200,5875.00
2016-10-13,5925.00,6050.00,5875.00,5975.00,1172300,5975.00
2016-10-12,5850.00,5900.00,5825.00,5875.00,714300,5875.00
2016-10-11,5925.00,6000.00,5800.00,5850.00,742600,5850.00
2016-10-10,6000.00,6100.00,5925.00,5925.00,400300,5925.00
2016-10-07,5975.00,6000.00,5925.00,6000.00,269600,6000.00
2016-10-06,6000.00,6075.00,5925.00,5975.00,518600,5975.00
2016-10-05,6050.00,6050.00,5950.00,6000.00,508000,6000.00
2016-10-04,6075.00,6125.00,6000.00,6050.00,645100,6050.00
