Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,890.00,900.00,840.00,840.00,5500,840.00
2017-01-31,890.00,895.00,890.00,890.00,300,890.00
2017-01-30,900.00,900.00,900.00,900.00,2000,900.00
2017-01-27,875.00,900.00,875.00,900.00,300,900.00
2017-01-25,900.00,990.00,705.00,900.00,8600,900.00
2017-01-24,845.00,845.00,840.00,845.00,352300,845.00
2017-01-23,800.00,850.00,800.00,850.00,7300,850.00
2017-01-20,850.00,850.00,800.00,800.00,800,800.00
2017-01-19,800.00,800.00,750.00,800.00,800,800.00
2017-01-18,865.00,865.00,750.00,800.00,19500,800.00
2017-01-17,870.00,870.00,865.00,865.00,2600,865.00
2017-01-11,880.00,880.00,870.00,870.00,100,870.00
2017-01-10,845.00,880.00,845.00,880.00,100,880.00
2017-01-09,865.00,865.00,750.00,845.00,200,845.00
2017-01-06,865.00,865.00,865.00,865.00,100,865.00
2017-01-04,850.00,850.00,820.00,820.00,300,820.00
2017-01-03,800.00,850.00,800.00,850.00,200,850.00
2016-12-30,875.00,875.00,750.00,750.00,6500,750.00
2016-12-29,830.00,830.00,830.00,830.00,100,830.00
2016-12-28,785.00,785.00,785.00,785.00,100,785.00
2016-12-21,890.00,890.00,845.00,870.00,200,870.00
2016-12-20,860.00,890.00,860.00,890.00,200,890.00
2016-12-19,890.00,890.00,860.00,860.00,900,860.00
2016-12-16,745.00,890.00,680.00,740.00,10500,740.00
2016-12-15,780.00,895.00,745.00,745.00,7400,745.00
2016-12-14,1090.00,1090.00,815.00,815.00,3400,815.00
2016-12-13,860.00,895.00,860.00,895.00,100,895.00
2016-12-08,860.00,860.00,860.00,860.00,1000,860.00
2016-12-07,865.00,865.00,865.00,865.00,100,865.00
2016-12-06,875.00,875.00,830.00,830.00,400,830.00
2016-12-05,880.00,880.00,845.00,845.00,600,845.00
2016-12-02,885.00,885.00,865.00,870.00,600,870.00
2016-12-01,885.00,885.00,850.00,850.00,200,850.00
2016-11-30,885.00,885.00,885.00,885.00,100,885.00
2016-11-28,890.00,890.00,885.00,885.00,100,885.00
2016-11-22,890.00,890.00,890.00,890.00,100,890.00
2016-11-21,900.00,895.00,895.00,895.00,100,895.00
2016-11-18,900.00,900.00,900.00,900.00,100,900.00
2016-11-17,900.00,900.00,900.00,900.00,100,900.00
2016-11-16,820.00,870.00,820.00,870.00,100,870.00
2016-11-15,900.00,900.00,820.00,820.00,5600,820.00
2016-11-14,900.00,900.00,810.00,875.00,700,875.00
2016-11-11,895.00,895.00,810.00,890.00,700,890.00
2016-11-10,900.00,900.00,900.00,900.00,100,900.00
2016-11-09,900.00,900.00,840.00,880.00,600,880.00
2016-11-08,895.00,895.00,890.00,890.00,300,890.00
2016-11-07,820.00,870.00,820.00,870.00,100,870.00
2016-11-04,860.00,900.00,820.00,820.00,200,820.00
2016-11-03,890.00,890.00,860.00,860.00,1700,860.00
2016-11-02,885.00,885.00,785.00,875.00,3200,875.00
2016-11-01,840.00,840.00,760.00,840.00,5200,840.00
2016-10-31,820.00,860.00,805.00,840.00,6000,840.00
2016-10-28,890.00,890.00,890.00,890.00,100,890.00
2016-10-27,900.00,900.00,770.00,835.00,3000,835.00
2016-10-26,765.00,850.00,765.00,850.00,300,850.00
2016-10-25,840.00,845.00,840.00,845.00,200,845.00
2016-10-21,900.00,900.00,900.00,900.00,200,900.00
2016-10-20,835.00,835.00,835.00,835.00,700,835.00
2016-10-19,970.00,970.00,835.00,835.00,4700,835.00
2016-10-18,925.00,925.00,925.00,925.00,100,925.00
2016-10-17,900.00,900.00,880.00,880.00,300,880.00
2016-10-14,850.00,900.00,840.00,840.00,400,840.00
2016-10-13,775.00,790.00,770.00,770.00,15300,770.00
2016-10-12,950.00,990.00,810.00,850.00,9600,850.00
2016-10-11,790.00,900.00,750.00,900.00,8400,900.00
2016-10-10,855.00,860.00,790.00,790.00,14300,790.00
2016-10-07,900.00,950.00,855.00,855.00,3900,855.00
2016-10-06,950.00,950.00,950.00,950.00,3000,950.00
2016-10-04,810.00,990.00,730.00,990.00,2200,990.00
2016-10-03,945.00,945.00,810.00,810.00,3000,810.00
2016-09-27,900.00,950.00,810.00,895.00,2400,895.00
2016-09-23,900.00,900.00,900.00,900.00,100,900.00
2016-09-21,950.00,950.00,810.00,815.00,2200,815.00
2016-09-20,775.00,900.00,775.00,900.00,200,900.00
2016-09-19,725.00,725.00,725.00,725.00,100,725.00
2016-09-16,790.00,790.00,730.00,730.00,1500,730.00
2016-09-15,770.00,790.00,770.00,790.00,300,790.00
2016-09-14,895.00,895.00,765.00,770.00,2500,770.00
2016-09-13,810.00,845.00,730.00,845.00,13600,845.00
2016-09-09,850.00,850.00,810.00,810.00,6300,810.00
2016-09-08,900.00,900.00,895.00,895.00,300,895.00
2016-09-01,990.00,990.00,900.00,990.00,9300,990.00
2016-08-31,810.00,1010.00,810.00,990.00,10600,990.00
2016-08-30,850.00,850.00,810.00,810.00,1200,810.00
2016-08-29,1000.00,1100.00,900.00,900.00,2700,900.00
2016-08-26,1000.00,1000.00,1000.00,1000.00,600,1000.00
2016-08-25,805.00,805.00,800.00,800.00,1800,800.00
2016-08-22,890.00,890.00,810.00,810.00,300,810.00
2016-08-19,895.00,895.00,895.00,895.00,500,895.00
2016-08-18,895.00,895.00,895.00,895.00,200,895.00
2016-08-16,840.00,840.00,775.00,825.00,2400,825.00
2016-08-15,900.00,900.00,850.00,850.00,1200,850.00
2016-08-12,1000.00,1000.00,900.00,900.00,2900,900.00
2016-08-11,775.00,800.00,775.00,800.00,6000,40.00
2016-08-09,12000.00,14300.00,12000.00,14300.00,6000,715.00
2016-08-02,11400.00,12000.00,11375.00,12000.00,20000,600.00
2016-07-29,11375.00,12625.00,11375.00,12625.00,6000,631.25
2016-07-22,12625.00,12625.00,12625.00,12625.00,4000,631.25
2016-07-21,17100.00,17100.00,14025.00,14025.00,8000,701.25
2016-07-20,15300.00,15300.00,15300.00,15300.00,2000,765.00
2016-07-14,17100.00,17100.00,16900.00,16900.00,12000,845.00
2016-06-23,14550.00,16900.00,14550.00,16900.00,2000,845.00
2016-06-07,14550.00,14550.00,14550.00,14550.00,2000,727.50
2016-02-09,14550.00,14550.00,14550.00,14550.00,4000,727.50
2016-01-06,14550.00,14550.00,14550.00,14550.00,4000,727.50
2015-12-30,14550.00,14550.00,14550.00,14550.00,2000,727.50
2015-12-22,14550.00,14550.00,14550.00,14550.00,2000,727.50
2015-12-09,14550.00,14550.00,14550.00,14550.00,000,727.50
2015-12-08,14550.00,14550.00,14550.00,14550.00,4000,727.50
2015-11-02,14550.00,14550.00,14550.00,14550.00,2000,727.50
2015-10-30,15000.00,15000.00,15000.00,15000.00,2000,750.00
2015-10-28,15000.00,15000.00,15000.00,15000.00,2000,750.00
2015-10-09,15950.00,15950.00,15000.00,15000.00,4000,750.00
2015-10-08,17050.00,17050.00,16000.00,16000.00,4000,800.00
2015-10-07,17000.00,17075.00,17000.00,17075.00,10000,853.75
2015-10-06,16600.00,16600.00,16600.00,16600.00,14000,830.00
2015-09-25,16725.00,16725.00,16725.00,16725.00,2000,836.25
2015-09-15,16775.00,16775.00,16775.00,16775.00,2000,838.75
2015-08-07,16775.00,16775.00,16775.00,16775.00,2000,838.75
2015-08-05,16950.00,16950.00,16950.00,16950.00,2000,847.50
2015-07-07,16950.00,16950.00,16950.00,16950.00,2000,847.50
2015-07-03,16950.00,16950.00,16950.00,16950.00,2000,847.50
2015-05-25,17100.00,17100.00,17100.00,17100.00,2000,855.00
2015-05-22,16675.00,16675.00,16675.00,16675.00,4000,833.75
2015-05-21,16675.00,16675.00,16675.00,16675.00,2000,833.75
2015-05-08,16875.00,16875.00,16875.00,16875.00,2000,843.75
2015-05-06,17000.00,17000.00,17000.00,17000.00,2000,850.00
2015-03-17,17100.00,17100.00,17100.00,17100.00,2000,855.00
2015-03-13,17200.00,17200.00,17200.00,17200.00,2000,860.00
2015-03-11,17425.00,17425.00,17425.00,17425.00,2000,871.25
2015-03-10,17100.00,17100.00,17100.00,17100.00,2000,855.00
2015-02-23,17225.00,17225.00,17225.00,17225.00,2000,861.25
2015-02-13,17225.00,17225.00,17225.00,17225.00,2000,861.25
2015-01-06,17475.00,17475.00,17475.00,17475.00,2000,873.75
2015-01-05,17475.00,17475.00,17475.00,17475.00,2000,873.75
2014-10-21,17500.00,17500.00,17500.00,17500.00,2000,875.00
2014-10-17,16975.00,16975.00,16975.00,16975.00,2000,848.75
2014-10-02,17000.00,17000.00,15500.00,17000.00,18000,850.00
2014-09-09,15500.00,16000.00,12000.00,15500.00,28000,775.00
2014-09-05,13675.00,13675.00,13000.00,13675.00,10000,683.75
2014-09-03,11400.00,11400.00,11000.00,11400.00,6000,570.00
2014-09-02,9500.00,9500.00,9500.00,9500.00,10000,475.00
2014-09-01,8800.00,8800.00,8800.00,8800.00,78000,440.00
2014-08-26,8800.00,8800.00,8800.00,8800.00,10000,440.00
2014-08-20,11000.00,11000.00,11000.00,11000.00,2000,550.00
2014-08-05,10000.00,10000.00,10000.00,10000.00,4000,500.00
2014-06-30,9300.00,9300.00,8000.00,9300.00,8000,465.00
2014-06-26,8000.00,8000.00,8000.00,8000.00,10000,400.00
2014-06-10,9250.00,9250.00,8500.00,9250.00,4000,462.50
2014-05-26,9300.00,9300.00,8800.00,9300.00,34000,465.00
2014-05-16,9000.00,9300.00,9000.00,9300.00,22000,465.00
2014-05-09,8800.00,8800.00,8800.00,8800.00,20000,440.00
2014-05-05,9000.00,9000.00,9000.00,9000.00,2000,450.00
2014-04-25,8000.00,8500.00,8000.00,8500.00,4000,425.00
2014-04-24,7700.00,7700.00,7700.00,7700.00,2000,385.00
2014-03-18,7700.00,7700.00,7700.00,7700.00,2000,385.00
2014-03-17,7700.00,7700.00,7700.00,7700.00,2000,385.00
2014-03-12,7400.00,7400.00,7400.00,7400.00,2000,370.00
2014-02-21,6550.00,6550.00,6550.00,6550.00,10000,327.50
2014-02-12,6100.00,6600.00,6100.00,6600.00,52000,330.00
2014-02-07,6000.00,6600.00,6000.00,6600.00,22000,330.00
2014-02-05,5600.00,5600.00,5600.00,5600.00,2000,280.00
2014-02-04,6000.00,6000.00,6000.00,6000.00,40000,300.00
