Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,70.00,70.00,70.00,70.00,27400,70.00
2017-01-31,70.00,70.00,65.00,70.00,13600,70.00
2017-01-30,69.00,69.00,67.00,69.00,6000,69.00
2017-01-27,70.00,70.00,70.00,70.00,1100,70.00
2017-01-26,70.00,70.00,67.00,70.00,50100,70.00
2017-01-25,70.00,70.00,70.00,70.00,000,70.00
2017-01-24,70.00,70.00,67.00,70.00,12100,70.00
2017-01-23,70.00,70.00,70.00,70.00,000,70.00
2017-01-20,68.00,70.00,68.00,70.00,10200,70.00
2017-01-19,68.00,71.00,66.00,71.00,157200,71.00
2017-01-18,71.00,71.00,68.00,70.00,140300,70.00
2017-01-17,65.00,71.00,65.00,71.00,204200,71.00
2017-01-16,69.00,69.00,65.00,65.00,136600,65.00
2017-01-13,70.00,70.00,69.00,69.00,39200,69.00
2017-01-12,70.00,70.00,67.00,70.00,248600,70.00
2017-01-11,70.00,71.00,69.00,70.00,114700,70.00
2017-01-10,68.00,71.00,68.00,70.00,151200,70.00
2017-01-09,71.00,71.00,68.00,68.00,208300,68.00
2017-01-06,66.00,76.00,66.00,71.00,742400,71.00
2017-01-05,67.00,68.00,66.00,66.00,3000,66.00
2017-01-04,68.00,68.00,63.00,67.00,500,67.00
2017-01-03,68.00,68.00,68.00,68.00,100,68.00
2017-01-02,68.00,68.00,68.00,68.00,000,68.00
2016-12-30,70.00,70.00,68.00,68.00,422900,68.00
2016-12-29,68.00,70.00,62.00,70.00,145500,70.00
2016-12-28,66.00,68.00,66.00,68.00,75700,68.00
2016-12-27,64.00,66.00,62.00,66.00,3000,66.00
2016-12-26,62.00,62.00,62.00,62.00,000,62.00
2016-12-23,63.00,63.00,62.00,62.00,400,62.00
2016-12-22,63.00,63.00,57.00,62.00,223700,62.00
2016-12-21,63.00,63.00,63.00,63.00,000,63.00
2016-12-20,63.00,63.00,57.00,63.00,30100,63.00
2016-12-19,63.00,63.00,63.00,63.00,000,63.00
2016-12-16,64.00,64.00,58.00,63.00,46000,63.00
2016-12-15,64.00,64.00,59.00,64.00,5200,64.00
2016-12-14,65.00,65.00,65.00,65.00,000,65.00
2016-12-13,66.00,66.00,62.00,65.00,10000,65.00
2016-12-12,66.00,66.00,66.00,66.00,000,66.00
2016-12-09,66.00,66.00,66.00,66.00,200,66.00
2016-12-08,62.00,66.00,58.00,64.00,60000,64.00
