Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,334.00,340.00,332.00,340.00,3115800,340.00
2017-01-31,334.00,338.00,330.00,334.00,11432000,334.00
2017-01-30,336.00,340.00,330.00,336.00,2577300,336.00
2017-01-27,336.00,338.00,332.00,336.00,18805700,336.00
2017-01-26,328.00,336.00,328.00,336.00,8508800,336.00
2017-01-25,338.00,338.00,326.00,328.00,10689200,328.00
2017-01-24,340.00,340.00,330.00,338.00,15383400,338.00
2017-01-23,334.00,340.00,330.00,338.00,6238500,338.00
2017-01-20,332.00,336.00,326.00,334.00,4425100,334.00
2017-01-19,330.00,332.00,326.00,332.00,2830100,332.00
2017-01-18,328.00,336.00,326.00,330.00,10850700,330.00
2017-01-17,330.00,332.00,324.00,328.00,1136300,328.00
2017-01-16,320.00,336.00,314.00,330.00,11160800,330.00
2017-01-13,320.00,320.00,312.00,320.00,4436700,320.00
2017-01-12,322.00,322.00,310.00,320.00,16335700,320.00
2017-01-11,310.00,326.00,310.00,322.00,22424200,322.00
2017-01-10,294.00,312.00,286.00,310.00,18706600,310.00
2017-01-09,290.00,294.00,284.00,294.00,11663000,294.00
2017-01-06,292.00,292.00,288.00,290.00,4776100,290.00
2017-01-05,290.00,294.00,288.00,292.00,6656000,292.00
2017-01-04,288.00,290.00,280.00,290.00,2943900,290.00
2017-01-03,298.00,298.00,288.00,288.00,4029300,288.00
2017-01-02,298.00,298.00,298.00,298.00,000,298.00
2016-12-30,290.00,298.00,288.00,298.00,30537400,298.00
2016-12-29,290.00,300.00,288.00,298.00,15656800,298.00
2016-12-28,292.00,294.00,286.00,292.00,10229700,292.00
2016-12-27,294.00,296.00,288.00,296.00,8132500,296.00
2016-12-26,296.00,296.00,296.00,296.00,000,296.00
2016-12-23,290.00,296.00,282.00,296.00,7663600,296.00
2016-12-22,288.00,298.00,288.00,290.00,18747600,290.00
2016-12-21,288.00,308.00,286.00,294.00,32351700,294.00
2016-12-20,286.00,290.00,280.00,288.00,6136800,288.00
2016-12-19,288.00,294.00,280.00,286.00,6578900,286.00
2016-12-16,290.00,300.00,282.00,288.00,6018700,288.00
2016-12-15,272.00,294.00,268.00,290.00,34325600,290.00
2016-12-14,264.00,274.00,262.00,272.00,16403200,272.00
2016-12-13,260.00,272.00,256.00,262.00,10493500,262.00
2016-12-12,260.00,260.00,260.00,260.00,000,260.00
2016-12-09,266.00,268.00,258.00,260.00,2109200,260.00
2016-12-08,264.00,270.00,262.00,266.00,1754700,266.00
2016-12-07,250.00,274.00,250.00,264.00,23110400,264.00
2016-12-06,266.00,268.00,254.00,254.00,12150700,254.00
2016-12-05,270.00,270.00,264.00,266.00,2458900,266.00
2016-12-02,270.00,272.00,264.00,270.00,826300,270.00
2016-12-01,266.00,276.00,262.00,270.00,14399900,270.00
2016-11-30,264.00,266.00,256.00,266.00,16424300,266.00
