Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,300.00,300.00,296.00,298.00,5055000,298.00
2017-01-31,300.00,304.00,292.00,300.00,5183500,300.00
2017-01-30,300.00,306.00,292.00,292.00,5268000,292.00
2017-01-27,300.00,304.00,298.00,300.00,5165000,300.00
2017-01-26,300.00,306.00,298.00,300.00,5533300,300.00
2017-01-25,300.00,306.00,300.00,300.00,5533900,300.00
2017-01-24,302.00,310.00,300.00,300.00,5216400,300.00
2017-01-23,306.00,310.00,298.00,302.00,5449100,302.00
2017-01-20,306.00,312.00,302.00,306.00,5065200,306.00
2017-01-19,308.00,314.00,304.00,306.00,5009000,306.00
2017-01-18,306.00,314.00,306.00,308.00,5035200,308.00
2017-01-17,304.00,310.00,302.00,306.00,5156800,306.00
2017-01-16,300.00,306.00,300.00,304.00,5309500,304.00
2017-01-13,306.00,306.00,294.00,300.00,4727200,300.00
2017-01-12,316.00,320.00,306.00,306.00,4591200,306.00
2017-01-11,320.00,322.00,314.00,316.00,7343100,316.00
2017-01-10,310.00,320.00,310.00,320.00,5264800,320.00
2017-01-09,302.00,314.00,302.00,310.00,10521300,310.00
2017-01-06,302.00,304.00,296.00,302.00,3691600,302.00
2017-01-05,302.00,308.00,302.00,302.00,6503700,302.00
2017-01-04,308.00,312.00,300.00,302.00,7165600,302.00
2017-01-03,314.00,314.00,306.00,308.00,7676900,308.00
2017-01-02,316.00,316.00,316.00,316.00,000,316.00
2016-12-30,316.00,318.00,308.00,316.00,6593700,316.00
2016-12-29,316.00,324.00,314.00,316.00,8192200,316.00
2016-12-28,314.00,316.00,312.00,316.00,5187600,316.00
2016-12-27,304.00,316.00,304.00,314.00,6227800,314.00
2016-12-26,304.00,304.00,304.00,304.00,000,304.00
2016-12-23,296.00,308.00,296.00,304.00,6803900,304.00
2016-12-22,304.00,306.00,296.00,296.00,7843300,296.00
2016-12-21,308.00,314.00,304.00,304.00,8214900,304.00
2016-12-20,306.00,318.00,306.00,308.00,7841600,308.00
2016-12-19,310.00,312.00,304.00,306.00,8215800,306.00
2016-12-16,310.00,316.00,308.00,308.00,7642400,308.00
2016-12-15,306.00,316.00,306.00,310.00,7375600,310.00
2016-12-14,300.00,306.00,296.00,306.00,8818600,306.00
2016-12-13,302.00,304.00,298.00,300.00,7428200,300.00
2016-12-12,302.00,302.00,302.00,302.00,000,302.00
2016-12-09,304.00,306.00,302.00,302.00,7039000,302.00
2016-12-08,306.00,312.00,304.00,304.00,7570000,304.00
2016-12-07,308.00,308.00,304.00,306.00,7528500,306.00
2016-12-06,306.00,310.00,304.00,308.00,7576900,308.00
2016-12-05,314.00,318.00,304.00,306.00,7365200,306.00
2016-12-02,318.00,318.00,314.00,314.00,7451300,314.00
2016-12-01,316.00,320.00,314.00,318.00,7206500,318.00
2016-11-30,314.00,318.00,314.00,316.00,6652400,316.00
2016-11-29,306.00,318.00,306.00,314.00,7413800,314.00
2016-11-28,300.00,316.00,296.00,306.00,5527400,306.00
2016-11-25,292.00,350.00,292.00,300.00,3780200,300.00
2016-11-24,242.00,290.00,242.00,290.00,2653000,290.00
2016-11-23,222.00,246.00,222.00,242.00,2277000,242.00
2016-11-22,214.00,220.00,214.00,220.00,7001000,220.00
2016-11-21,214.00,214.00,214.00,214.00,400,214.00
2016-11-18,214.00,214.00,214.00,214.00,000,214.00
2016-11-17,214.00,214.00,214.00,214.00,3500,214.00
2016-11-16,220.00,220.00,220.00,220.00,000,220.00
2016-11-15,220.00,220.00,220.00,220.00,2500,220.00
2016-11-14,220.00,220.00,220.00,220.00,000,220.00
